,IDs,Names,ratings,deviation,Pre-Rank
0,233,HerO,2.32244310068939,0.0682474807962726,1.0
24,1665,SpeeD,2.30975395074884,0.10213465449721,2.0
12,1665,Cure,2.30975395074884,0.10213465449721,2.0
7,76,Dark,2.27910687300461,0.0709258028239446,3.0
25,1793,Solar,2.16986037480571,0.0699581709911799,4.0
9,1517,Bunny,2.05624022810152,0.112939828540754,5.0
2,186,Classic,2.05199049003865,0.080041125431408,6.0
22,1662,Rogue,1.97762501577169,0.16,7.0
26,1658,Zest,1.9439494884787,0.16,8.0
5,2,Creator,1.86161619908948,0.072937743656974,9.0
13,4,DongRaeGu,1.74238784537296,0.0770973666311083,10.0
8,1659,Dear,1.62170736362097,0.16,11.0
27,6,TaeJa,1.3324728428158,0.16,12.0
16,1,Leenock,1.2778382112627,0.16,13.0
28,34,soO,1.1484918495889,0.16,14.0
6,175,Bbyong,1.10298934909816,0.16,15.0
10,481,DeParture,0.997340774598908,0.16,16.0
18,458,Forte,0.995261358962598,0.16,17.0
1,1709,MyuNgSiK,0.991020585850904,0.16,18.0
19,31,Losira,0.968610878871542,0.16,19.0
30,45,Soulkey,0.930813540787097,0.16,20.0
11,18172,herO,0.927943364678616,0.16,21.0
21,1740,Journey,0.902609165537251,0.16,22.0
4,16,Curious,0.811526604220759,0.16,23.0
31,18,Symbol,0.801007945875852,0.16,24.0
17,239,Stork,0.736904919120575,0.16,25.0
14,21,Seed,0.558686621814888,0.16,26.0
23,5751,Trap,0.471009932405009,0.16,27.0
20,549,Super,0.284589575017884,0.16,28.0
29,2626,TY,0.187212963660583,0.16,29.0
3,1460,aLive,0.187066037253852,0.16,30.0
15,6356,Dream,0.13972746448463,0.16,31.0
